4,0+IT-UNDEF	-1.36774
R~clear	-1.26915
R=that.5	-1.25796
R=that.3	-0.96113
R~was	-0.91533
R~difficult	-0.90437
R~since	-0.90253
L=do.1	-0.86232
R~very	-0.85540
R=not.2	-0.85329
R~so	-0.84494
R~took	-0.84364
L=not.2	-0.75966
R=all.1	-0.75817
R~they	-0.75780
L=make.1	-0.74325
R~just	-0.73192
R~unlikely	-0.71700
that^_^is	-0.71609
R=that.4	-0.70949
R=took.1	-0.68412
R~who	-0.65756
R~whether	-0.65305
L=think.2	-0.63350
R~market	-0.63082
R=for.3	-0.62406
_^will^not^be	-0.61630
R~scared	-0.61337
R='s.4	-0.61286
do^_^.	-0.61204
R=just.2	-0.60709
R~me	-0.59958
R~out	-0.59234
4,2+IT-UNDEF	-0.58792
_^will^not	-0.58094
R~happen	-0.57161
R~he	-0.56829
R~determined	-0.56542
L=we.2	-0.56311
R=clear.3	-0.55264
R~if	-0.54629
R~director	-0.54431
``^_^is^the	-0.54218
L=put.1	-0.54170
R=they.5	-0.53686
R~--	-0.53113
_^is^not^clear	-0.51956
R~stock	-0.51748
R~;	-0.50190
L=so.1	-0.49718
R~are	-0.49697
for^_^.	-0.49412
L=``.1	-0.48595
R~deregulation	-0.48590
R=unlikely.2	-0.48410
_^is^unlikely	-0.48410
4,2+NGM=UNDEF	-0.48160
R=,.1	-0.47887
R~disaster	-0.47717
R~again	-0.47704
R~that	-0.47385
R~followed	-0.46804
R~pay	-0.46757
R=was.1	-0.46617
R~still	-0.46552
R~bonds	-0.46306
R~where	-0.46197
R=to.3	-0.46178
R~I	-0.46004
R=his.2	-0.45886
R~succeed	-0.45826
R~run	-0.45698
R~my	-0.45384
R~'re	-0.45327
L=``.2	-0.45125
R=cost.2	-0.45100
R=--.1	-0.45086
R~always	-0.44890
4,0+IT	-0.44757
R=is.1	-0.44464
R=very.3	-0.44423
R~hard	-0.44175
R~question	-0.44067
R=difficult.3	-0.43763
R~leveraged	-0.43740
R~early	-0.43624
R~all	-0.43366
R~0000s	-0.43031
``^_^took	-0.42983
R=you.4	-0.42824
R~you	-0.42787
R~done	-0.42577
R=''.1	-0.42478
of^_^,^''	-0.42425
R~drop	-0.42294
L=she.2	-0.42246
R=with.1	-0.42171
R~chief	-0.42120
R=he.3	-0.41819
R~sense	-0.41799
R~her	-0.41407
close^to^_	-0.41301
close^to^_^.	-0.41301
or^something^close^to^_	-0.41301
something^close^to^_	-0.41301
something^close^to^_^.	-0.41301
R=take.3	-0.41232
L=close.2	-0.40987
R~us	-0.40936
L=about.1	-0.40892
R~say	-0.40505
NE^for^_	-0.40504
NE^for^_^.	-0.40504
NE^for^_^.^''	-0.40504
reprove^NE^for^_	-0.40504
reprove^NE^for^_^.	-0.40504
to^reprove^NE^for^_	-0.40504
R~long	-0.40461
L=for.1	-0.40392
L=making.1	-0.40225
R=they.2	-0.40211
R~have	-0.40191
R=NE.3	-0.40071
R=be.5	-0.39940
R~debate	-0.39868
_^did^not^work	-0.39518
_^did^not^work^.	-0.39518
R~time	-0.39510
R~unnecessary	-0.39402
R~be	-0.39230
R~his	-0.39212
R=difficult.2	-0.39181
R~wound	-0.39149
R~our	-0.39105
R~''	-0.39069
R~reopen	-0.39058
R~roll	-0.38582
R~consideration	-0.38530
to^do^_	-0.38492
L=Call.1	-0.38406
R=..3	-0.38224
,^_^will	-0.38071
R~minutes	-0.38019
having^none^of^_	-0.37889
having^none^of^_^.	-0.37889
none^of^_	-0.37889
none^of^_^.	-0.37889
were^having^none^of^_	-0.37889
,^``^_^is^a	-0.37878
R~before	-0.37734
R=matter.3	-0.37713
R=seemed.1	-0.37677
R=three.3	-0.37593
_^in^his	-0.37468
L=none.2	-0.37428
R=takes.2	-0.37018
R~come	-0.37014
